A400001;ΑΝΑΙΣΘΗΣΙΑ ΓΙΑ ΕΠΕΜΒΑΣΕΙΣ ΠΟΥ ΑΦΟΡΟΥΝ ΤΟΥΣ ΣΙΕΛΟΓΟΝΟΥΣ ΑΔΕΝΕΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΒΙΟΨΙΑΣ
X706567;ΣΠΟΝΔΥΛΙΚΗ ΣΩΜΑΤΕΚΤΟΜΗ (ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΟΥ ΣΩΜΑΤΟΣ), ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΓΙΑ ΕΚΤΟΜΗ ΕΝΔΟΣΠΟΝΔΥΛΙΚΗΣ ΒΛΑΒΗΣ, ΕΝΑ ΤΜΗΜΑ. ΥΠΟΣΚΛΗΡΙΔΙΚΗ, ΑΥΧΕΝΙΚΗ
X706569;ΣΠΟΝΔΥΛΙΚΗ ΣΩΜΑΤΕΚΤΟΜΗ (ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΟΥ ΣΩΜΑΤΟΣ), ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΓΙΑ ΕΚΤΟΜΗ ΕΝΔΟΣΠΟΝΔΥΛΙΚΗΣ ΒΛΑΒΗΣ, ΕΝΑ ΤΜΗΜΑ. ΥΠΟΣΚΛΗΡΙΔΙΚΗ, ΘΩΡΑΚΙΚΗ ΜΕ ΔΙΑΘΩΡΑΚΙΚΗ ΠΡΟΣΠΕΛΑΣΗ
X706571;ΣΠΟΝΔΥΛΙΚΗ ΣΩΜΑΤΕΚΤΟΜΗ (ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΟΥ ΣΩΜΑΤΟΣ), ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΓΙΑ ΕΚΤΟΜΗ ΕΝΔΟΣΠΟΝΔΥΛΙΚΗΣ ΒΛΑΒΗΣ, ΕΝΑ ΤΜΗΜΑ. ΥΠΟΣΚΛΗΡΙΔΙΚΗ, ΘΩΡΑΚΙΚΗ ΜΕ ΘΩΡΑΚΟ-ΟΣΦΥΪΚΗ ΠΡΟΣΠΕΛΑΣΗ
X706573;ΣΠΟΝΔΥΛΙΚΗ ΣΩΜΑΤΕΚΤΟΜΗ (ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΟΥ ΣΩΜΑΤΟΣ), ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΓΙΑ ΕΚΤΟΜΗ ΕΝΔΟΣΠΟΝΔΥΛΙΚΗΣ ΒΛΑΒΗΣ, ΕΝΑ ΤΜΗΜΑ. ΥΠΟΣΚΛΗΡΙΔΙΚΗ, ΟΣΦΥΪΚΗ Ή ΙΕΡΑ ΜΕ ΔΙΑΠΕΡΙΤΟΝΑΪΚΗ Ή ΟΠΙΣΘΟΠΕΡΙΤΟΝΑΪΚΗ ΠΡΟΣΠΕΛΑΣΗ
X706575;ΣΠΟΝΔΥΛΙΚΗ ΣΩΜΑΤΕΚΤΟΜΗ (ΕΚΤΟΜΗ ΣΠΟΝΔΥΛΙΚΟΥ ΣΩΜΑΤΟΣ), ΜΕΡΙΚΗ Ή ΠΛΗΡΗΣ, ΓΙΑ ΕΚΤΟΜΗ ΕΝΔΟΣΠΟΝΔΥΛΙΚΗΣ ΒΛΑΒΗΣ, ΕΝΑ ΤΜΗΜΑ. ΚΑΘΕ ΠΡΟΣΘΕΤΟ ΤΜΗΜΑ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΥΣ ΚΩΔΙΚΟΥΣ ΓΙΑ ΤΟ ΜΕΜΟΝΩΜΕΝΟ ΤΜΗΜΑ)
X707159;ΠΡΟΚΛΗΣΗ ΒΛΑΒΗΣ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ ΜΕ ΣΤΕΡΕΟΤΑΚΤΙΚΗ ΜΕΘΟΔΟ, ΔΙΑΔΕΡΜΙΚΗ, ΜΕ ΟΠΟΙΟΝΔΗΠΟΤΕ ΤΡΟΠΟ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΔΙΕΓΕΡΣΗΣ ΚΑΙ/Ή ΤΗΣ ΚΑΤΑΓΡΑΦΗΣ)
X707179;ΣΤΕΡΕΟΤΑΚΤΙΚΗ ΔΙΕΓΕΡΣΗ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ, ΔΙΑΔΕΡΜΙΚΗ, ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ ΠΟΥ ΔΕΝ ΑΚΟΛΟΥΘΕΙΤΑΙ ΑΠΟ ΑΛΛΗ ΧΕΙΡΟΥΡΓΙΚΗ ΕΠΕΜΒΑΣΗ
X707189;ΣΤΕΡΕΟΤΑΚΤΙΚΗ ΒΙΟΨΙΑ, ΑΝΑΡΡΟΦΗΣΗ, Ή ΕΚΤΟΜΗ ΒΛΑΒΗΣ, ΝΩΤΙΑΙΟΣ ΜΥΕΛΟΣ
X707199;ΣΤΕΡΕΟΤΑΚΤΙΚΗ ΑΚΤΙΝΟΧΕΙΡΟΥΡΓΙΚΗ (ΡΑΔΙΟΕΠΕΜΒΑΣΗ) (ΔΕΣΜΗ ΣΩΜΑΤΙΔΙΩΝ, ΑΚΤΙΝΑ ΓΑΜΜΑ, Ή ΓΡΑΜΜΙΚΟΣ ΕΠΙΤΑΧΥΝΤΗΣ). 1 ΒΛΑΒΗ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ
X707201;ΣΤΕΡΕΟΤΑΚΤΙΚΗ ΡΑΔΙΟΕΠΕΜΒΑΣΗ (ΔΕΣΜΗ ΣΩΜΑΤΙΔΙΩΝ, ΑΚΤΙΝΑ ΓΑΜΜΑ, Ή ΓΡΑΜΜΙΚΟΣ ΕΠΙΤΑΧΥΝΤΗΣ). ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΒΛΑΒΗ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗΝ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ
X707259;ΔΙΑΔΕΡΜΙΚΗ ΕΜΦΥΤΕΥΣΗ  ΔΙΑΤΑΞΗΣ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ, ΕΠΙΣΚΛΗΡΙΔΙΑ
X707269;ΠΕΤΑΛΕΚΤΟΜΗ ΓΙΑ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ, ΠΛΑΚΑΣ, ΕΞΩΣΚΛΗΡΙΔΙΑ
X707279;ΑΝΑΘΕΩΡΗΣΗ Ή ΑΦΑΙΡΕΣΗ ΣΠΟΝΔΥΛΙΚΗΣ ΔΙΑΔΕΡΜΙΚΗΣ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΗΣ ΔΙΑΤΑΞΗΣ ΗΛΕΚΤΡΟΔΙΩΝ  Ή ΠΛΑΚΑΣ
X707329;ΕΙΣΑΓΩΓΗ Ή ΑΝΤΙΚΑΤΑΣΤΑΣΗ ΓΕΝΝΗΤΡΙΑΣ Ή ΔΕΚΤΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΠΑΛΜΩΝ ΑΜΕΣΗ Ή ΕΠΑΓΩΓΙΚΗ ΣΥΖΕΥΞΗ
X707335;ΑΝΑΘΕΩΡΗΣΗ Ή ΑΦΑΙΡΕΣΗ ΤΗΣ ΕΜΦΥΤΕΥΜΕΝΗΣ ΓΕΝΝΗΤΡΙΑΣ Ή ΔΕΚΤΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΠΑΛΜΩΝ
X707359;ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΗΝΙΓΓΟΚΗΛΗΣ. ΔΙΑΜΕΤΡΟΣ ΜΙΚΡΟΤΕΡΗ ΤΩΝ 5 ΕΚ
X707363;ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΗΝΙΓΓΟΚΗΛΗΣ. ΔΙΑΜΕΤΡΟΣ ΜΕΓΑΛΥΤΕΡΗ ΤΩΝ 5 ΕΚ
X707367;ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΥΕΛΟΜΗΝΙΓΓΟΚΗΛΗΣ. ΔΙΑΜΕΤΡΟΣ ΜΙΚΡΟΤΕΡΗ ΤΩΝ 5 ΕΚ
X707371;ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΥΕΛΟΜΗΝΙΓΓΟΚΗΛΗΣ. ΔΙΑΜΕΤΡΟΣ ΜΕΓΑΛΥΤΕΡΗ ΤΩΝ 5 ΕΚ
X707373;ΑΠΟΚΑΤΑΣΤΑΣΗ ΔΙΑΡΡΟΗΣ (ΣΚΛΗΡΙΔΙΚΟΥ)/ΕΓΚΕΦΑΛΟΝΩΤΙΑΙΟΥ ΥΓΡΟΥ, ΠΟΥ ΔΕΝ ΑΠΑΙΤΕΙ ΠΕΤΑΛΕΚΤΟΜΗ
X707377;ΑΠΟΚΑΤΑΣΤΑΣΗ ΔΙΑΡΡΟΗΣ (ΣΚΛΗΡΙΔΙΚΟΥ)/ΕΓΚΕΦΑΛΟΝΩΤΙΑΙΟΥ ΥΓΡΟΥ Ή ΨΕΥΔΟΜΗΝΙΓΓΟΚΗΛΗΣ, ΜΕ ΠΕΤΑΛΕΚΤΟΜΗ
X707379;ΜΗΝΙΓΓΟΠΛΑΣΤΙΚΗ ΣΠΟΝΔΥΛΙΚΗΣ ΣΤΗΛΗΣ (ΣΚΛΗΡΙΔΙΚΟ ΜΟΣΧΕΥΜΑ, ΣΠΟΝΔΥΛΙΚΟ)
X707439;ΔΗΜΙΟΥΡΓΙΑ ΠΑΡΑΚΑΜΨΗΣ. ΟΣΦΥΪΚΗ, ΥΠΑΡΑΧΝΟΕΙΔΙΚΗ/-ΠΕΡΙΤΟΝΑΪΚΗ, -ΠΛΕΥΡΙΚΗ, Ή ΑΛΛΗ Η ΟΠΟΙΑ ΠΕΡΙΛΑΜΒΑΝΕΙ ΠΕΤΑΛΕΚΤΟΜΗ
X707441;ΔΗΜΙΟΥΡΓΙΑ ΠΑΡΑΚΑΜΨΗΣ. ΥΠΑΡΑΧΝΟΕΙΔΙΚΗ/ΥΠΟΣΚΛΗΡΙΔΙΑ-ΠΕΡΙΤΟΝΑΪΚΗ, -ΠΛΕΥΡΙΚΗ, ΑΛΛΗ ΔΙΑΔΕΡΜΙΚΗ, ΠΟΥ ΔΕΝ ΑΠΑΙΤΕΙ ΠΕΤΑΛΕΚΤΟΜΗ
X707447;ΑΝΤΙΚΑΤΑΣΤΑΣΗ, ΕΚΠΛΥΣΗ Ή ΑΝΑΘΕΩΡΗΣΗ ΤΗΣ ΟΣΦΥΟ-ΥΠΑΡΑΧΝΟΕΙΔΟΥΣ ΠΑΡΑΚΑΜΨΗΣ
X707451;ΑΦΑΙΡΕΣΗ ΟΛΟΚΛΗΡΟΥ ΤΟΥ ΣΥΣΤΗΜΑΤΟΣ ΟΣΦΥΟ-ΥΠΑΡΑΧΝΟΕΙΔΟΥΣ ΠΑΡΑΚΑΜΨΗΣ ΧΩΡΙΣ ΑΝΤΙΚΑΤΑΣΤΑΣΗ
X708759;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΤΡΙΔΥΜΟ ΝΕΥΡΟ, ΟΠΟΙΟΔΗΠΟΤΕ ΤΜΗΜΑ Ή ΚΛΑΔΟΣ
X708763;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΠΡΟΣΩΠΙΚΟ ΝΕΥΡΟ
X708769;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΜΕΙΖΟΝ ΙΝΙΑΚΟ ΝΕΥΡΟ
X708775;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΠΝΕΥΜΟΝΟΓΑΣΤΡΙΚΟ ΝΕΥΡΟ
X708779;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΦΡΕΝΙΚΟ ΝΕΥΡΟ
X708783;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΕΠΙΚΟΥΡΙΚΟ ΣΠΟΝΔΥΛΙΚΟ ΝΕΥΡΟ
X708785;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΑΥΧΕΝΙΚΟ ΠΛΕΓΜΑ
X708789;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΒΡΑΧΙΟΝΙΟ ΠΛΕΓΜΑ, ΜΟΝΗΡΗΣ
X708791;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΒΡΑΧΙΟΝΙΟ ΠΛΕΓΜΑ, ΣΥΝΕΧΗΣ ΕΓΧΥΣΗ ΑΠΟ ΚΑΘΕΤΗΡΑ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΤΑΙ Η ΤΟΠΟΘΕΤΗΣΗ ΤΟΥ ΚΑΘΕΤΗΡΑ)
X708793;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΜΑΣΧΑΛΙΑΟ  ΝΕΥΡΟ
X708795;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΥΠΕΡΠΛΑΤΙΟ ΝΕΥΡΟ
X708799;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΜΕΣΟΠΛΕΥΡΙΟ ΝΕΥΡΟ, ΜΟΝΗΡΗΣ
X708801;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΕΝΔΟΠΛΕΥΡΙΑ ΝΕΥΡΑ, ΠΟΛΛΑΠΛΑ, ΤΟΠΙΚΟ ΜΠΛΟΚ
X708809;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΛΑΓΟΝΟΒΟΥΒΩΝΙΚΑ, ΛΑΓΟΝΟΫΠΟΓΡΑΣΤΡΙΑ
X708819;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΑΙΔΟΙΙΚΟ ΝΕΥΡΟ
X708829;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΠΑΡΑΤΡΑΧΗΛΙΚΟ (ΤΗΣ ΜΗΤΡΑΣ) ΝΕΥΡΟ
X708849;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΙΣΧΙΑΚΟ ΝΕΥΡΟ, ΜΟΝΗΡΗΣ
X708851;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΙΣΧΙΑΚΟ ΝΕΥΡΟ, ΣΥΝΕΧΗΣ ΕΓΧΥΣΗ ΑΠΟ ΚΑΘΕΤΗΡΑ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΤΑΙ Η ΤΟΠΟΘΕΤΗΣΗ ΤΟΥ ΚΑΘΕΤΗΡΑ)
X708853;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΜΗΡΙΑΙΟ ΝΕΥΡΟ, ΜΟΝΗΡΗΣ
X708855;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΜΗΡΙΑΙΟ ΝΕΥΡΟ, ΣΥΝΕΧΗΣ ΕΓΧΥΣΗ ΑΠΟ ΚΑΘΕΤΗΡΑ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΤΑΙ Η ΤΟΠΟΘΕΤΗΣΗ ΤΟΥ ΚΑΘΕΤΗΡΑ)
X708857;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΟΣΦΥΙΚΟ ΠΛΕΓΜΑ, ΟΠΙΣΘΙΑ ΠΡΟΣΠΕΛΑΣΗ, ΣΥΝΕΧΗΣ ΕΓΧΥΣΗ ΑΠΟ ΚΑΘΕΤΗΡΑ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΕΤΑΙ Η ΤΟΠΟΘΕΤΗΣΗ ΚΑΘΕΤΗΡΑ)
X708859;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΑΛΛΟ ΠΕΡΙΦΕΡΙΚΟ ΝΕΥΡΟ Ή ΚΛΑΔΟΣ
X708869;ΕΝΕΣΗ(ΕΝΕΣΕΙΣ), ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗΣ, ΚΟΙΝΟ ΝΕΥΡΟ ΔΑΚΤΥΛΟΥ ΠΕΛΜΑΤΟΣ (Π.Χ. ΝΕΥΡΙΝΩΜΑ MORTON)
X708899;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΝΕΥΡΟ ΑΠΟΦΥΣΙΑΚΗΣ ΑΡΘΡΩΣΗΣ (ΚΑΙ ΠΑΡΑΣΠΟΝΔΥΛΙΚΟ). ΑΥΧΕΝΙΚΗ Ή ΘΩΡΑΚΙΚΗ, ΕΝΑ ΕΠΙΠΕΔΟ
X708903;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΝΕΥΡΟ ΑΠΟΦΥΣΙΑΚΗΣ ΑΡΘΡΩΣΗΣ (ΚΑΙ ΠΑΡΑΣΠΟΝΔΥΛΙΚΟ). ΑΥΧΕΝΙΚΗ Ή ΘΩΡΑΚΙΚΗ, ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΕΠΙΠΕΔΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗΝ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ
X708909;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΝΕΥΡΟ ΑΠΟΦΥΣΙΑΚΗΣ ΑΡΘΡΩΣΗΣ (ΚΑΙ ΠΑΡΑΣΠΟΝΔΥΛΙΚΟ). ΟΣΦΥΙΚΗ Η ΙΕΡΑ, ΕΝΑ ΕΠΙΠΕΔΟ
X708911;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΝΕΥΡΟ ΑΠΟΦΥΣΙΑΚΗΣ ΑΡΘΡΩΣΗΣ (ΚΑΙ ΠΑΡΑΣΠΟΝΔΥΛΙΚΟ). ΟΣΦΥΙΚΗ Ή ΙΕΡΑ, ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΕΠΙΠΕΔΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗΝ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ
X708917;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΔΙΑΤΡΗΜΑΤΙΚΗ ΕΠΙΣΚΛΗΡΙΔΙΟΣ. ΑΥΧΕΝΙΚΗ Ή ΘΩΡΑΚΙΚΗ, ΕΝΑ ΕΠΙΠΕΔΟ
X708919;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΔΙΑΤΡΗΜΑΤΙΚΗ ΕΠΙΣΚΛΗΡΙΔΙΟΣ. ΑΥΧΕΝΙΚΗ Ή ΘΩΡΑΚΙΚΗ, ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΕΠΙΠΕΔΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗΝ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
X708925;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΔΙΑΤΡΗΜΑΤΙΚΗ ΕΠΙΣΚΛΗΡΙΔΙΟΣ. ΟΣΦΥΪΚΗ Ή ΙΕΡΑ, ΕΝΑ ΕΠΙΠΕΔΟ
X708927;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ ΚΑΙ/Ή ΣΤΕΡΟΕΙΔΗ, ΔΙΑΤΡΗΜΑΤΙΚΗ ΕΠΙΣΚΛΗΡΙΔΙΟΣ. ΟΣΦΥΪΚΗ Ή ΙΕΡΑ, ΚΑΘΕ ΕΠΙΠΛΕΟΝ ΕΠΙΠΕΔΟ (ΝΑ ΚΑΤΑΓΡΑΦΕΤΑΙ ΞΕΧΩΡΙΣΤΑ ΜΑΖΙ ΜΕ ΤΟΝ ΚΩΔΙΚΟ ΓΙΑ ΤΗ ΒΑΣΙΚΗ ΔΙΑΔΙΚΑΣΙΑ)
X708969;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΣΦΗΝΟΫΠΕΡΩΙΟ ΓΑΓΓΛΙΟ
X708975;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΚΑΡΩΤΙΔΙΚΟ ΣΙΦΩΝΙΟ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)
X708979;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΑΣΤΕΡΟΕΙΔΕΣ ΓΑΓΓΛΙΟ (ΑΥΧΕΝΙΚΟ ΣΥΜΠΑΘΗΤΙΚΟ)
X708993;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΑΝΩ ΥΠΟΓΡΑΣΤΙΟ ΠΛΕΓΜΑ
X708999;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΟΣΦΥΙΚΗ Ή ΘΩΡΑΚΙΚΗ (ΠΑΡΑΣΠΟΝΔΥΛΙΟ ΣΥΜΠΑΘΗΤΙΚΟ)
X709019;ΕΝΕΣΗ, ΑΝΑΙΣΘΗΤΙΚΟΣ ΠΑΡΑΓΟΝΤΑΣ. ΚΟΙΛΙΑΚΟ ΠΛΕΓΜΑ, ΜΕ Ή ΧΩΡΙΣ ΑΚΤΙΝΟΣΚΟΠΙΟ ΕΛΕΓΧΟ
X709059;ΕΙΣΑΓΩΓΗ ΝΕΥΡΟΔΙΕΓΕΡΤΗ ΕΠΙΦΑΝΕΙΑΣ (ΔΙΑΔΕΡΜΙΚΗ)
X709065;ΔΙΑΔΕΡΜΙΚΗ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΚΡΑΝΙΑΚΟ ΝΕΥΡΟ
X709069;ΔΙΑΔΕΡΜΙΚΗ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ, ΠΕΡΙΦΕΡΙΚΟ ΝΕΥΡΟ (ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΟ ΙΕΡΟ ΝΕΥΡΟ)
X709079;ΔΙΑΔΕΡΜΙΚΗ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΑΥΤΟΝΟΜΟ ΝΕΥΡΟ
X709081;ΔΙΑΔΕΡΜΙΚΗ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΙΕΡΟ ΝΕΥΡΟ (ΔΙΑΤΡΗΜΑΤΙΚΗ ΤΟΠΟΘΕΤΗΣΗ)
X709089;ΔΙΑΔΕΡΜΙΚΗ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΝΕΥΡΟΜΥΪΚΗ
X709105;ΤΟΜΗ ΓΙΑ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΚΡΑΝΙΑΚΟ ΝΕΥΡΟ
X709109;ΤΟΜΗ ΓΙΑ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΠΕΡΙΦΕΡΙΚΟ ΝΕΥΡΟ (ΔΕΝ ΠΕΡΙΛΑΜΒΑΝΕΙ ΤΟ ΙΕΡΟ ΝΕΥΡΟ)
X709113;ΤΟΜΗ ΓΙΑ ΕΜΦΥΤΕΥΣΗ ΝΕΥΡΟΔΙΕΓΕΡΤΙΚΩΝ ΗΛΕΚΤΡΟΔΙΩΝ. ΑΥΤΟΝΟΜΟ ΝΕΥΡΟ
