K500001;ΜΥΕΛΟΓΡΑΦΙΑ
Β315905.15;ΒΑΚΤΗΡΙΟΛΟΓΙΚΟΣ ΕΛΕΓΧΟΣ (ΚΑΛΛΙΕΡΓΕΙΑ ΚΑΙ ΑΜΕΣΟΣ ΜΙΚΡΟΣΚΟΠΙΚΗ ΕΞΕΤΑΣΗ)  ΔΕΙΓΜΑΤΩΝ ΠΤΥΕΛΩΝ
Β315905.16;ΠΟΣΟΤΙΚΗ ΚΑΛΛΙΕΡΓΕΙΑ ΒΡΟΓΧΟΚΥΨΕΛΙΔΙΚΟΥ ΕΚΠΛΥΜΑΤΟΣ  ΚΑΙ ΑΛΛΩΝ ΒΙΟΛΟΓΙΚΩΝ ΥΛΙΚΩΝ ΤΟΥ ΚΑΤΩΤΕΡΟΥ ΑΝΑΠΝΕΥΣΤΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ (BAL, PSB)
Β315905.17;ΚΑΛΛΙΕΡΓΕΙΑ ΚΛΙΝΙΚΟΥ ΔΕΙΓΜΑΤΟΣ ΓΙΑ LEGIONELLA PNEUMOPHILA
Β315905.18;ΚΑΛΛΙΕΡΓΕΙΑ ΥΛΙΚΟΥ ΒΙΟΨΙΑΣ ΓΙΑ HELICOBACTER PYLORI
Β315905.19;ΒΑΚΤΗΡΙΟΛΟΓΙΚΟΣ ΕΛΕΓΧΟΣ (ΚΑΛΛΙΕΡΓΕΙΑ ΚΑΙ ΑΜΕΣΟΣ ΜΙΚΡΟΣΚΟΠΙΚΑ ΕΞΕΤΑΣΗ)  ΚΟΛΠΙΚΟΥ ΕΚΚΡΙΜΑΤΟΣ ( ΓΙΑ ΤΡΙΧΟΜΟΝΑΔΕΣ, ΜΥΚΗΤΕΣ, ΜΗ ΕΙΔΙΚΗ ΚΟΛΠΙΤΙΔΑ)
Β315905.20;ΚΑΛΛΙΕΡΓΕΙΑ ΥΛΙΚΟΥ ΑΠΟ ΑΝΑΠΝΕΥΣΤΙΚΟ ΣΥΣΤΗΜΑ ΓΙΑ MYCOPLASMA SPP
Β315905.21;ΕΙΔΙΚΗ ΚΑΛΛΙΕΡΓΕΙΑ ΕΛΚΟΥΣ ΓΕΝΝΗΤΙΚΟΥ ΣΥΣΤΗΜΑΤΟΣ ΓΙΑ H. DUCREI
Β315905.22;ΈΛΕΓΧΟΣ ΕΠΙΧΡΙΣΜΑΤΟΣ ΕΠΙΠΕΦΥΚΟΤΑ, ΤΡΑΧΗΛΙΚΟΥ, ΟΥΡΗΘΡΙΚΟΥ ΕΚΚΡΙΜΑΤΟΣ Η ΑΛΛΟΥ ΥΛΙΚΟΥ ΑΠΟ ΤΟ ΟΥΡΟΠΟΙΟΓΕΝΝΗΤΙΚΟ ΣΥΣΤΗΜΑ ΓΙΑ CHLAMYDIA TRACHOMATIS 
Β315905.23;ΧΡΩΣΗ ΚΛΙΝΙΚΟΥ ΥΛΙΚΟΥ ΚΑΤΑ GIEMSA
Β315905.24;ΑΝΙΧΝΕΥΣΗ ΓΕΝΕΤΙΚΟΥ ΥΛΙΚΟΥ ΜΙΚΡΟΟΡΓΑΝΙΣΜΩΝ ΠΟΥ ΔΕΝ ΑΝΑΦΕΡΟΝΤΑΙ ΑΛΛΟΥ ΣΕ ΚΛΙΝΙΚΑ ΔΕΙΓΜΑΤΑ ΜΕ ΤΗ ΜΕΘΟΔΟ PCR
Β315905.25;ΑΝΙΧΝΕΥΣΗ (ΚΑΙ ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ) ΓΕΝΕΤΙΚΟΥ ΥΛΙΚΟΥ ΜΙΚΡΟΟΡΓΑΝΙΣΜΩΝ ΠΟΥ ΔΕΝ ΑΝΑΦΕΡΟΝΤΑΙ ΑΛΛΟΥ ΣΕ ΚΛΙΝΙΚΑ ΔΕΙΓΜΑΤΑ ΜΕ ΤΗ ΜΕΘΟΔΟ REAL TIME PCR
Β315905.26;ΤΥΠΟΠΟΙΗΣΗ ΜΙΚΡΟΒΙΑΚΩΝ ΣΤΕΛΕΧΩΝ ΜΕ ΤΗ ΜΕΘΟΔΟ ΤΗΣ MULTILOCUS SEQUENCE TYPING (MLST)
Β315905.27;ΤΥΠΟΠΟΙΗΣΗ ΜΙΚΡΟΒΙΑΚΩΝ ΣΤΕΛΕΧΩΝ ΤΗ ΜΕΘΟΔΟ PCR
Β315905.28;ΤΥΠΟΠΟΙΗΣΗ ΜΙΚΡΟΒΙΑΚΩΝ ΣΤΕΛΕΧΩΝ ΤΗ ΜΕΘΟΔΟ ΠΟΥ ΒΑΣΙΖΕΤΑΙ ΣΕ ΑΛΛΗΛΟΥΧΗΣΗ ΓΟΝΙΔΙΩΝ
Β315905.29;ΤΥΠΟΠΟΙΗΣΗ ΜΙΚΡΟΒΙΑΚΩΝ ΣΤΕΛΕΧΩΝ ΤΗ ΜΕΘΟΔΟ VNTR
Β315905.30;ΤΥΠΟΠΟΙΗΣΗ ΙΩΝ ΜΕ ΑΛΛΗΛΟΥΧΗΣΗ 
Β315905.31;ΈΛΕΓΧΟΣ ΣΥΝΕΡΓΕΙΑΣ ΑΝΤΙΒΙΟΤΙΚΩΝ ΜΕ KILLING CURVE  Η CHECKER BOARD TITRATION
Β315905.32;ΈΛΕΓΧΟΣ ΣΥΝΕΡΓΕΙΑΣ ΑΝΤΙΒΙΟΤΙΚΩΝ ΜΕ ΤΑΙΝΙΕΣ ΔΙΑΒΑΘΜΙΣΜΕΝΗΣ ΣΥΓΚΕΝΤΡΩΣΗΣ
Β315905.33;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΠΙΠΕΔΩΝ ΑΝΤΙΒΙΟΤΙΚΩΝ ΣΤΟΝ ΟΡΟ
Β315905.34;ΈΛΕΓΧΟΣ ΕΥΑΙΣΘΗΣΙΑΣ ΣΤΑ ΑΝΤΙΒΙΟΤΙΚΑ MYCOPLASMA HOMINIS ΚΑΙ UREOPLASMA UREALYTICUM
Β315905.35;ΚΑΛΛΙΕΡΓΕΙΑ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΣΕ ΥΓΡΑ ΘΡΕΠΤΙΚΑ ΥΛΙΚΑ MIDDLEBROOK 7H9 ΣΕ ΑΥΤΟΜΑΤΟΠΟΙΗΜΕΝΑ ΣΥΣΤΗΜΑΤΑ ΥΓΡΗΣ ΚΑΛΛΙΕΡΓΕΙΑΣ:BACTEC 460, BACTEC MGIT 960, BACT/ALERT,MD-REDOX
Β315905.36;ΑΝΑΖΗΤΗΣΗ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΣΕ ΑΙΜΟΚΑΛΛΙΕΡΓΕΙΕΣ ΜΕ ΕΙΔΙΚΟ ΜΕΣΟ ΑΠΟΜΟΝΩΣΗΣ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΑΠΟ ΑΙΜΑ ΧΩΡΙΣ ΑΠΑΙΤΗΣΗ ΠΡΟΣΘΗΚΗΣ ΣΥΜΠΛΗΡΩΜΑΤΩΝ
Β315905.37;ΈΛΕΓΧΟΣ ΑΝΤΟΧΗΣ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΣΤΑ ΔΕΥΤΕΡΕΥΟΝΤΑ ΑΝΤΙΦΥΜΑΤΙΚΑ ΦΑΡΜΑΚΑ (ΟΦΛΟΞΑΣΙΝΗ, ΡΙΦΑΜΠΟΥΤΙΝΗ, ΚΥΚΛΟΣΕΡΙΝΗ, ΑΜΙΚΑΣΙΝΗ, ΕΘΕΙΟΝΑΜΙΔΗ, ΚΑΠΡΕΟΜΥΚΙΝΗ, ΚΛΑΡΙΘΡΟΜΥΚΙΝΗ, ΚΑΝΑΜΥΚΙΝΗ) ΣΕ ΣΤΕΡΕΑ ΘΡΕΠΤΙΚΑ ΥΛΙΚΑ
Β315905.38;ΈΛΕΓΧΟΣ ΑΝΤΟΧΗΣ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΣΤΗΝ ΠΥΡΑΖΙΝΑΜΙΔΗ ΣΕ ΥΓΡΟ ΘΡΕΠΤΙΚΟ ΥΛΙΚΟ
Β315905.39;ΈΛΕΓΧΟΣ ΑΝΤΟΧΗΣ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΣΤΑ ΠΡΩΤΕΥΟΝΤΑ ΑΝΤΙΦΥΜΑΤΙΚΑ ΦΑΡΜΑΚΑ (ΙΣΟΝΙΑΖΙΔΗ, ΡΙΦΑΜΠΙΚΙΝΗ, ΣΤΡΕΠΤΟΜΥΚΙΝΗ, ΕΘΑΜΒΟΥΤΟΛΗ) ΣΕ ΥΓΡΑ ΘΡΕΠΤΙΚΑ ΥΛΙΚΑ
Β315905.40;ΈΛΕΓΧΟΣ ΑΝΤΟΧΗΣ ΜΥΚΟΒΑΚΤΗΡΙΔΙΩΝ ΣΤΑ ΔΕΥΤΕΡΕΥΟΝΤΑ ΑΝΤΙΦΥΜΑΤΙΚΑ ΦΑΡΜΑΚΑ (ΟΦΛΟΞΑΣΙΝΗ, ΡΙΦΑΜΠΟΥΤΙΝΗ, ΚΥΚΛΟΣΕΡΙΝΗ, ΑΜΙΚΑΣΙΝΗ,ΕΘΕΙΟΝΑΜΙΔΗ,ΚΑΠΡΕΟΜΥΚΙΝΗ,ΚΛΑΡΙΘΡΟΜΥΚΙΝΗ, ΚΑΝΑΜΥΚΙΝΗ, ΛΙΝΕΖΟΛΙΔΗ) ΣΕ ΥΓΡΑ  ΘΡΕΠΤΙΚΑ ΥΛΙΚΑ
Β315905.41;ΓΕΝΙΚΗ ΕΞΕΤΑΣΗ ΒΙΟΛΟΓΙΚΩΝ ΥΓΡΩΝ (ΕΝΥ, ΠΛΕΥΡΙΤΙΚΟ, ΠΕΡΙΚΑΡΔΙΑΚΟ, ΠΕΡΙΤΟΝΑΪΚΟ, ΑΡΘΡΙΚΟ)
Β315905.42;ΚΑΛΛΙΕΡΓΕΙΑ ΒΙΟΛΟΓΙΚΩΝ ΥΓΡΩΝ (ΕΝΥ, ΠΛΕΥΡΙΤΙΚΟ, ΠΕΡΙΚΑΡΔΙΑΚΟ, ΠΕΡΙΤΟΝΑΪΚΟ, ΑΡΘΡΙΚΟ)
Β315905.43;ΓΕΝΙΚΗ ΕΞΕΤΑΣΗ ΟΥΡΩΝ (ΒΙΟΧΗΜΙΚΗ - ΤΟΥΛΑΧΙΣΤΟΝ 10 ΠΑΡΑΜΕΤΡΟΙ  ΚΑΙ ΜΙΚΡΟΣΚΟΠΙΚΗ)
Β315905.44;TΙΤΛΟΣ ΑΝΤΙΣΤΕΠΤΟΛΥΣΙΝΗΣ (ASTO) 
Β315905.45;TΙΤΛΟΣ ΑΝΤΙDNAΣΗΣ ( ANTI-DNASE B)
Β315905.46;ΔΟΚΙΜΑΣΙΑ ΣΥΦΙΛΗΣ, ΤΡΕΠΟΝΙΜΙΚΗ IGG
Β315905.47;ΔΟΚΙΜΑΣΙΑ ΣΥΦΙΛΗΣ, ΤΡΕΠΟΝΙΜΙΚΗ IGM
Β315905.48;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ - IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ ΑΔΕΝΟΙΩΝ 
Β315905.49;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ  IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ ΑΣΠΕΡΓΙΛΛΟΥ
Β315905.50;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ  ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ ΒΑΚΤΗΡΙΟY, ΠΟΥ ΔΕΝ ΕΧΕΙ ΠΡΟΣΔΙΟΡΙΣΤΕΙ ΑΛΛΟΥ
Β315905.51;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ BARTONELLA HENSELAE
Β315905.52;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ BARTONELLA QUINTANA
Β315905.53;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ BARTONELLA QUINTANA
Β315905.54;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ BORDETELLA PERTUSSIS 
Β315905.55;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤΆ BORRELIA BURGDORFERΙ (ΝΟΣΟΣ LYME) ΜΕ ΜΕΘΟΔΟ ΑΝΟΣΟΣΤΥΠΩΣΗΣ (WESTERN BLOT)  
Β315905.56;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ ) IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  BORRELIA BURGDORFERI (ΝΟΣΟΣ LYME
Β315905.57;ΠΡΟΣΔΙΟΡΙΣΜΟΣΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  BORRELIA RECURRENTIS (ΥΠΟΣΤΡΟΦΟΣ ΠΥΡΕΤΟΣ) 
Β315905.58;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ  IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  BRUCELLA
Β315905.59;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ  IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  BRUCELLA
Β315905.60;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ  IGΜ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  CAMPYLOBACTER 
Β315905.61; ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΑΝΤΙΓΟΝΩΝ COXIELLA BURNETII ΦΑΣΕΩΣ ΙΙ                 
Β315905.62; ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGA ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΑΝΤΙΓΟΝΩΝ COXIELLA BURNETII ΦΑΣΕΩΣ Ι 
Β315905.63; ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGM  ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΑΝΤΙΓΟΝΩΝ COXIELLA BURNETII ΦΑΣΕΩΣ ΙΙ
Β315905.64;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ ΤΗΣ ΤΟΞΙΝΗΣ ΤΟΥ CORYNEBACTERIUM DIPHTHERIAE
Β315905.65;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  LA CROSSE VIRUS ENCEPHALITIS
Β315905.66;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  ΤΟΥ EASTERN EQUINE ENCEPHALITIS VIRUS (ΙΟΥ ΤΗΣ ΔΥΤΙΚΗΣ ΙΠΠΕΙΟΥ ΕΓΚΕΦΑΛΟΜΥΕΛΙΤΙΔΑΣ)
Β315905.67;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  ST. LOUIS ENCEPHALITIS VIRUS (ΙΟΥ ΤΗΣ ΕΓΚΕΦΑΛΙΤΙΔΑΣ ΤΟΥ ST. LOUIS)
Β315905.68;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  ΤΟΥ WESTERN EQUINE ENCEPHALITIS VIRUS (ΙΟΥ ΤΗΣ ΔΥΤΙΚΗΣ ΙΠΠΕΙΟΥ ΕΓΚΕΦΑΛΟΜΥΕΛΙΤΙΔΑΣ)
Β315905.69;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤΑ ΤΩΝ ΙΩΝ ΠΟΛΙΟΜΥΕΛΙΤΙΔΑΣ 1,2,3 ME ΜΕΘΟΔΟ ΕΞΟΥΔΕΤΕΡΩΤΙΚΩΝ ΑΝΤΙΣΩΜΑΤΩΝ
Β315905.70;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤΆ ΤΩΝ ΙΩΝ ECHO TΥΠΩΝ 4, 6, 11, 30  
Β315905.71; ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΤΟΥ ΚΑΨΙΔΙΚΟΥ ΑΝΤΙΓΟΝΟΥ (VCA) ΤΟΥ  IOY EPSTEIN-BARR (EBV VCA IGM)
Β315905.72;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  EHRLICHIA
Β315905.73;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  FRANCISELLA TULARENSIS
Β315905.74; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  HELICOBACTER PYLORI                                    
Β315905.75;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGA ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ  HELICOBACTER PYLORI 
Β315905.76;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ IOY ΑΠΛΟΥ ΕΡΠΗΤΑ ΤΥΠΟΥ 1 (HSV-1 IGM)                                  
Β315905.77;ΠΡΟΣΔΙΟΡΙΣΜΟΣ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ IOY ΑΠΛΟΥ ΕΡΠΗΤΑ ΤΥΠΟΥ 2 (HSV-2 IGM)                                  
Β315905.78;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΙΟΥ ΓΡΙΠΗΣ ΤΥΠΟΥ Α 
Β315905.79;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΙΟΥ ΓΡΙΠΗΣ ΤΥΠΟΥ Β 
Β315905.80;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΙΟΥ ΓΡΙΠΗΣ ΤΥΠΟΥ Β 
Β315905.81; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA LEPTOSPIRA INTERROGANS
Β315905.82;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤΆ ΤΗΣ LISTERIA MONOCYTOGENES
Β315905.83; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ  IGΜ  ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ΙΟΥ ΠΑΡΩΤΙΤΙΔΟΣ 
Β315905.84; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA TOY  MYCOPLASMA PNEUMONIAE   
Β315905.85; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA TOY ΙΟΥ PARVO B19                                                
Β315905.86;AΝΤΙΑΜΟΙΒΑΔΙΚΑ ΑΝΤΙΣΩΜΑΤΑ   ELISA
Β315905.87;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA TOY ΑΝΑΠΝΕΥΣΤΙΚΟΥ ΣΥΓΚΥΤΙΑΚΟΥ ΙΟΥ (RSV IGG )
Β315905.88;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA RICKETTSIA CONORI (MEDITERRANEAN SPOTTED FEVER) 
Β315905.89;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA RICKETTSIA MOOSERI/TYPHI (ENDEMIC FEVER) 
Β315905.90;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA RICKETTSIA MOOSERI/TYPHI (ENDEMIC FEVER) 
Β315905.91;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA ROTAVIRUS
Β315905.92;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ IOY ΕΡΥΘΡΑΣ
Β315905.93;ΠΡΟΣΔIΟΡΙΣΜΟΣ ΛΕΙΤΟΥΡΓΙΚΗΣ ΣΥΝΑΦΕΙΑΣ (AVIDITY) ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA TOY ΙΟΥ  ΕΡΥΘΡΑΣ                                                  
Β315905.94; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGΜ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA TOY ΙΟΥ ΙΛΑΡΑΣ
Β315905.95;ΠΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜΑΤΩΝ ΤΟΧΟPLASMA  GONDII
Β315905.96;ΠΡΟΣΔIΟΡΙΣΜΟΣ ΛΕΙΤΟΥΡΓΙΚΗΣ ΣΥΝΑΦΕΙΑΣ (AVIDITY) ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤA TOY ΤΟΧΟPLASMA  GONDII (TOXOPLASMA IGG-AVIDITY)
Β315905.97;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGM ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ IOY ΑΝΑΜΕΥΛΟΓΙΑΣ - ΕΡΠΗΤΑ - ΖΩΣΤΗΡΑ
Β315905.98;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ ΜΗ ΠΡΟΣΔΙΟΡΙΖΟΜΕΝΟΥ IOY
Β315905.99;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGA ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ YERSINIA ENTEROCOLITICA  ΜΕ ΜΕΘΟΔΟ ΑΝΟΣΟΣΤΥΠΩΣΗΣ                                            
Β315905.100; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ YERSINIA PSEUDOTUBERCULOSIS ΜΕ ΜΕΘΟΔΟ ΑΝΟΣΟΣΤΥΠΩΣΗΣ                                            
Β315905.101; ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ IGG ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ YERSINIA PSEUDOTUBERCULOSIS ΜΕ ΜΕΘΟΔΟ ΑΝΟΣΟΣΤΥΠΩΣΗΣ                  
Β315905.102;ΑΝΙΧΝΕΥΣΗ ΑΝΤΙΓΟΝΩΝ ΜΙΚΡΟΟΡΓΑΝΙΣΜΩΝ ΠΟΥ ΠΡΟΚΑΛΟΥΝ  ΜΗΝΙΓΓΙΤΙΔΑ ΜΕ LATEX ΣΥΓΚΟΛΛΗΤΙΝΟΑΝΤΙΔΡΑΣΗ ΑΠ'ΕΥΘΕΙΑΣ ΣΕ ΕΝΥ, ΟΥΡΑ, ΟΡΟ ,ΥΠΟΠΤΕΣ ΑΠΟΙΚΙΕΣ ΑΠΟ ΚΑΛΛΙΕΡΓΕΙΑ, ΜΕ ΕΝΙΑΙΑ ΜΕΘΟΔΟ ΓΙΑ  H. INFLUENZAE ΤΥΠΟΥ B S.PNEUMONIAE STREPTOCOCCUS ΟΜΑΔΑΣ B  N.MENINGITIDIS ΤΩΝ ΟΜΑΔΩΝ C ΚΑΙ W135 N.MENINGITIDIS ΤΩΝ ΟΜΑΔΩΝ A ΚΑΙ Y,-N.MENINGITIDIS ΤΗΣ ΟΜΑΔΑΣ B E.COLI K1
Β315905.103;ΧΡΩΣΗ ΜΕ ΦΘΟΡΙΖΟΥΣΑ ΧΡΩΣΤΙΚΗ ΒΙΟΛΟΓΙΚΟΥ ΥΛΙΚΟΥ 
Β315905.104;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΕΙΔΙΚΩΝ ΑΝΤΙΣΩΜAΤΩΝ ΚΑΤΑ ΜΗ ΠΡΟΣΔΙΟΡΙΖΟΜΕΝΟΥ IOY
Β315905.105;ΠΟΙΟΤΙΚΗ ΑΝΙΧΝΕΥΣΗΣ ΦΡΟΥΚΤΟΖΗΣ ΣΤΟ ΣΠΕΡΜΑ ΜΕ ΤΗ ΔΟΚΙΜΗ ΤΗΣ RESORCINOL
Β315905.106;ΑΝΙΧΝΕΥΣΗ ΓΟΝΙΔΙΩΝ ΑΝΤΟΧΗΣ ΣΤΑ ΑΝΤΙΒΙΟΤΙΚΑ ΜΕ  PCR ΚΑΙ ΑΛΛΗΛΟΥΧΟΠΟΙΗΣΗ / ΗΛΕΚΤΡΟΦΟΡΗΣΗ / RFLPS
Β315905.107; ΠΡΟΣΔΙΟΡΙΣΜΟΣ (ΛΕΙΤΟΥΡΓΙΚΗΣ)  ΣΥΝΑΦΕΙΑΣ (AVIDITY) ΤΩΝ ΕΙΔΙΚΩΝ IGG KATA ΚΥΤΤΑΡΟΜΕΓΑΛΟΪΟΥ ΤΟΥ ΑΝΘΡΩΠΟΥ (IGG-AVIDITY CMV)  
Β315905.108;ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΑΝΤΙΣΩΜΑΤΩΝ ΚΑΤΑ ΒΡΟΥΚΕΛΑΣ ΚΑΤΑ ROSE BENGAL
Β315905.109;ΠΟΣΟΤΙΚΟΣ ΠΡΟΣΔΙΟΡΙΣΜΟΣ ΠΡΟΚΑΛΣΙΤΟΝΙΝΗΣ
